2016-07-06 16:57:35,560 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-06 16:57:35,561 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jinx/Documents/jobs/teacher/nbBase/src/main/resources
2016-07-06 16:57:35,562 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-06 16:57:35,562 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jinx/Documents/jobs/teacher/nbBase/src/test/resources
2016-07-06 16:57:35,563 [Worker-24] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of nbBase
2016-07-06 16:57:35,563 [Worker-24] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for nbBase
2016-07-06 16:57:35,567 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-06 16:57:47,275 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2016-07-06 16:57:57,164 [main] INFO  o.e.m2e.actions.ExecutePomAction - Using existing launch configuration
2016-07-06 16:58:02,645 [Worker-35] INFO  o.e.m.i.launch.MavenLaunchDelegate - /Users/jinx/Documents/jobs/teacher/nbBase
2016-07-06 16:58:02,645 [Worker-35] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B generate-sources
2016-07-06 16:58:09,125 [Worker-35] INFO  o.e.m.i.launch.MavenLaunchDelegate - /Users/jinx/Documents/jobs/teacher/nbBase
2016-07-06 16:58:09,126 [Worker-35] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B install
2016-07-06 16:58:12,460 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-06 16:58:12,461 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jinx/Documents/jobs/teacher/nbBase/src/main/resources
2016-07-06 16:58:12,462 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-06 16:58:12,463 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jinx/Documents/jobs/teacher/nbBase/src/test/resources
2016-07-06 17:00:53,381 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for p6spy:p6spy:jar:2.1.4 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2016-07-06 17:00:54,231 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-06 17:00:54,232 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jinx/Documents/jobs/teacher/nbBase/src/main/resources
2016-07-06 17:00:54,236 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-06 17:00:54,237 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jinx/Documents/jobs/teacher/nbBase/src/test/resources
2016-07-06 17:03:37,643 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-06 17:03:37,644 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jinx/Documents/jobs/teacher/nbBase/src/main/resources
2016-07-06 17:03:37,645 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-06 17:03:37,645 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jinx/Documents/jobs/teacher/nbBase/src/test/resources
2016-07-06 17:04:53,679 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for p6spy:p6spy:jar:2.1.4 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2016-07-06 17:04:54,143 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-06 17:04:54,144 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jinx/Documents/jobs/teacher/nbBase/src/main/resources
